id,target,gold_source,predicted_rank_1,gold_rank,top_k_sources,top_k_scores
132,Memory,Warehouse,memory,-1,"['memory', 'mind', 'Computer Processor', 'How the Human Brain Works', 'CPU', 'The Brain', 'Computer', 'knowledge', 'understanding', 'The Nervous System', 'code', 'Human Body', 'human', 'Operating System', 'Computer Code', 'Machines', 'The Neural Network of Computers', 'idea', 'Neural Networks', 'program']","[0.8227402822006145, 0.5785336519364537, 0.48874310597149795, 0.46897101103855865, 0.4571487493373356, 0.4564176408231071, 0.43873234612047396, 0.4365627119377827, 0.42022512522297295, 0.4169817997672461, 0.3905814718952708, 0.38098619537202744, 0.3767441358448941, 0.37224431049561346, 0.36846447026145435, 0.36562974131453996, 0.36319683119041873, 0.36072133851186905, 0.35693336935581954, 0.3527715496139683]"
133,hard drive,book,Computer,19,"['Computer', 'Computer Processor', 'CPU', 'Machines', 'File Cabinet', 'memory', 'Operating System', 'Air handling system', 'Printers', 'house', 'Warehouse', 'Printers Print Documents', 'Computer Code', 'engine', 'Houses', 'Bookshelf', 'Circuits', 'factory', 'book', 'car']","[0.43813132204892313, 0.405569335967964, 0.38666796311396906, 0.3602057494060574, 0.3415184656952292, 0.3356806616572914, 0.3185558647203707, 0.3181008561504723, 0.3154916036986272, 0.31396412215065894, 0.31291582351492864, 0.30573394381965113, 0.30501526379061467, 0.30139407665389073, 0.29973679456333013, 0.2922576115131864, 0.2834237243122138, 0.2830537238934753, 0.2798102371414252, 0.27887071867548624]"
134,Network,Expressway,communication networks,-1,"['communication networks', 'The Neural Network of Computers', 'Computer', 'Neural Networks', 'Firewall', 'Circuits', 'Printers', 'CPU', 'Operating System', 'The Nervous System', 'A Distributed Computing System', 'Printers Print Documents', 'code', 'Transportation Systems', 'Computer Processor', 'Machines', 'River', 'Human Relationships', 'signal', 'program']","[0.5781869649213335, 0.48530873489017123, 0.4592493004846556, 0.43465961079371584, 0.4332214847341936, 0.4319993770845695, 0.4270994034221798, 0.4173718707498837, 0.41394739672620184, 0.4104389199691106, 0.40315297623609636, 0.4008508845436247, 0.383402053450288, 0.3783801911313226, 0.36772813701664464, 0.3676097305149467, 0.36072797144569957, 0.35678077386126017, 0.35555316018386773, 0.353861493131656]"
135,programming,cooking,program,15,"['program', 'Computer Code', 'code', 'Program Error', 'Computer Processor', 'Computer', 'CPU', 'Printers', 'Deciphering the Code', 'Operating System', 'Disassembly', 'A Distributed Computing System', 'Translation', 'Machines', 'cooking', 'Recipes', 'Mathematical Calculations', 'The Neural Network of Computers', 'Baking', 'Printers Print Documents']","[0.7256796969786683, 0.6606972470529955, 0.5635291108506295, 0.4899710045529614, 0.46865169797199324, 0.456944506363807, 0.44199071187430816, 0.43318754284743544, 0.421425680238497, 0.3987441988299202, 0.39503826824555754, 0.38314305931494586, 0.3723285339507715, 0.36466915854697124, 0.3625951828468738, 0.3436887589712443, 0.33826502217788534, 0.33797786946237257, 0.33777892382521013, 0.3353383275388888]"
136,Database,File Cabinet,Computer,9,"['Computer', 'Library', 'A Distributed Computing System', 'Building', 'Machines', 'Dictionary', 'book', 'Disease', 'File Cabinet', 'laboratory', 'Buildings', 'Neural Networks', 'Bookshelf', 'Reactor', 'Diseases', 'Operating System', 'Computer Processor', 'memory', 'CPU', 'program']","[0.41805097885144593, 0.40055258677530703, 0.3991428568662378, 0.37502844479579694, 0.3728143802754451, 0.3657154439582145, 0.3636297090234992, 0.35955206808338325, 0.3577664126597538, 0.3530093608023656, 0.3520134949816256, 0.34739393994107676, 0.3439871153949863, 0.3408508432969206, 0.3405135047950213, 0.3394174780045788, 0.3389106886302541, 0.33756142778420395, 0.33634812162264627, 0.3357656686874799]"
137,Encryption,password lock,Deciphering the Code,4,"['Deciphering the Code', 'code', 'Electronic Signal Transmission', 'password lock', 'Lock', 'Translation', 'Firewall', 'Computer Code', 'Mathematical Calculations', 'memory', 'Cookie Making', 'Computer Processor', 'Computer', 'signal', 'crime', 'Disassembly', 'The Writing System', 'CPU', 'understanding', 'education']","[0.5564855651169329, 0.5127602895235384, 0.4828606272625619, 0.435640921285974, 0.38811454479674357, 0.38047269872653783, 0.3787066909019365, 0.3637421121386212, 0.35922054825678945, 0.3570838160056791, 0.34844907928895397, 0.34836092489212644, 0.34524045579036755, 0.3354146807103946, 0.328991847468184, 0.32805952139453565, 0.3277872030932097, 0.32599665815218215, 0.31945479617709804, 0.31544413940539934]"
138,Internet Security,Lock,Firewall,11,"['Firewall', 'Computer', 'Electronic Signal Transmission', 'code', 'Transportation Systems', 'Immunity', 'Circuits', 'Operating System', 'Program Error', 'Skin System', 'Lock', 'signal', 'CPU', 'Cookie Making', 'Computer Code', 'Computer Processor', 'communication networks', 'A Distributed Computing System', 'Machines', 'skill']","[0.519999737429496, 0.4508523031823144, 0.44785101127374183, 0.43186394684897067, 0.42525682710656343, 0.3981976225363868, 0.37910390547284173, 0.3758273361260871, 0.3627500806035433, 0.36152597698064437, 0.3599726972393707, 0.35994797767489506, 0.35731255675583495, 0.3564893282414834, 0.35543085230836347, 0.3533050941975083, 0.3428719412692654, 0.3338217455265049, 0.3307698227177968, 0.3276463520470005]"
139,cache,shelf,memory,9,"['memory', 'Cookie Making', 'Computer Processor', 'Computer Code', 'Computer', 'CPU', 'code', 'File Cabinet', 'shelf', 'The Hunt', 'resonance cavity', 'Crowd', 'Library', 'knowledge', 'The Neural Network of Computers', 'Circuits', 'camera', 'Camera', 'program', 'communication networks']","[0.4693746227686194, 0.43205295344366035, 0.3777624402912544, 0.37597492315663755, 0.37209710817925495, 0.351982156831943, 0.34772222453993207, 0.3340658788371258, 0.3091106960262088, 0.3070280875350736, 0.30664537557386423, 0.3058641215310024, 0.30520919811934744, 0.30333153956341485, 0.2986113545945496, 0.2969810225425389, 0.295793393126817, 0.2953131145207538, 0.2943120880304605, 0.28921048429410434]"
140,Program Code,Crime Scene,Computer Code,-1,"['Computer Code', 'program', 'code', 'Program Error', 'Computer Processor', 'CPU', 'Computer', 'Deciphering the Code', 'Disassembly', 'Operating System', 'A Distributed Computing System', 'Printers', 'Translation', 'crime', 'Printers Print Documents', 'Mathematical Calculations', 'password lock', 'A Puzzle', 'Machines', 'Recipes']","[0.8189651902483935, 0.7225116922705801, 0.6173884976297737, 0.571988396027954, 0.5291942318409868, 0.5135645913120706, 0.4713158964245225, 0.46513141527920104, 0.4645525784213228, 0.4115410237887245, 0.4052388013316842, 0.3695046449427838, 0.34720300885352884, 0.3317827328693565, 0.3297773483441012, 0.31521688863272207, 0.312790018929053, 0.312506275630957, 0.30827820531027117, 0.302146117879752]"
141,Version Control,Time Machine,code,-1,"['code', 'edit', 'Reactor', 'Computer Code', 'Evolution', 'Computer', 'Ledger', 'Transportation Systems', 'Regulator', 'program', 'camera', 'The Writing System', 'time', 'Supply Chain', 'Construction Work', 'Program Error', 'Circuits', 'Translation', 'Factory System', 'Biological Evolution']","[0.4078653541041148, 0.4074504572412765, 0.3453123454344764, 0.345224447633487, 0.3365122706685623, 0.32864493573940334, 0.3145174569631861, 0.3132785132232205, 0.3114040516496748, 0.31117846585755915, 0.30828665112284415, 0.30744001274413274, 0.3015798427016659, 0.29337986792646753, 0.2930668560697236, 0.29196348059569255, 0.2917657302375559, 0.2910011391505866, 0.28939483165565727, 0.2879370394415878]"
142,Cloud Computing,Rental Housing,A Distributed Computing System,-1,"['A Distributed Computing System', 'CPU', 'Computer', 'Computer Processor', 'Operating System', 'Computer Code', 'Library', 'communication networks', 'code', 'The Neural Network of Computers', 'Wind Power', 'laboratory', 'Solar Panels', 'Circular Economy', 'memory', 'Supply Chain', 'Firewall', 'Bookshelf', 'program', 'Currency Loss']","[0.4998041097206252, 0.3803628535326775, 0.3767445754233369, 0.3733995109260738, 0.3466961784265262, 0.33406436888662433, 0.32895427901183505, 0.32634077915715837, 0.3100847091389421, 0.3049508558634748, 0.3030200663090286, 0.302443810982919, 0.29456352584262435, 0.2908288196768183, 0.2860011121226791, 0.28518456287020333, 0.282633939905896, 0.2799104156906079, 0.27924933762369053, 0.27656547238034224]"
143,Software Development,The Long Journey,Program Error,-1,"['Program Error', 'program', 'Computer Code', 'Construction Work', 'code', 'Disassembly', 'innovation', 'skill', 'Operating System', 'A Distributed Computing System', 'research', 'Architecture', 'Computer', 'ideas', 'signal', 'Drawing', 'education', 'edit', 'Reactor', 'Construction Workers']","[0.47334429464925304, 0.4606397445951361, 0.4392026675700751, 0.428519974302421, 0.4254682082007475, 0.40245406282921725, 0.3971938026760124, 0.39611020267343106, 0.3949797729186405, 0.3912685498079459, 0.3823965454903778, 0.37846336825276705, 0.36505098611252196, 0.3619593318892482, 0.3593500542685336, 0.35580686208927503, 0.3552393992168637, 0.34945035663815377, 0.34346454958879125, 0.34189056899967374]"
144,computer,mind,Computer,-1,"['Computer', 'CPU', 'Computer Processor', 'Machines', 'Computer Code', 'memory', 'program', 'The Neural Network of Computers', 'Printers', 'Program Error', 'Operating System', 'code', 'Printers Print Documents', 'Circuits', 'The Brain', 'A Distributed Computing System', 'How the Human Brain Works', 'camera', 'Mathematical Calculations', 'Car']","[0.8136462722271263, 0.6645723197988463, 0.6571610274324019, 0.5718949615689416, 0.5555014953224595, 0.4887445435807565, 0.48793537067816556, 0.4682418553772788, 0.4601712554373776, 0.4545720530635661, 0.4497416520092747, 0.44779564928973314, 0.44346086276485613, 0.43841815702255227, 0.43052599158742855, 0.39472891760612283, 0.3915581079488394, 0.3875803510126292, 0.3845368847481319, 0.38282128642053115]"
145,Metaverse,The Real World,Maps,-1,"['Maps', 'money', 'universe', 'Urban', 'mind', '3D Projection', 'Brave New World', 'memory', 'Urban Evolution', 'city', 'Time Machine', 'Translation', 'Makeup', 'understanding', 'Financial Markets', 'The Maze Problem', 'theory', 'Firewall', 'Computer', 'The Puzzle']","[0.36413585741191035, 0.3266587120482315, 0.3237072610116343, 0.31695016140405996, 0.3133628591959784, 0.3066375750877739, 0.29900632713078723, 0.2917249895549733, 0.28976528444972083, 0.2873749526759337, 0.28657202396973136, 0.28591568782135734, 0.28405736156284866, 0.2839177267929246, 0.2831231042536658, 0.28102927516919834, 0.2809874063768836, 0.2748991870561894, 0.2717591964100461, 0.27128672736404197]"
146,Feature Engineering,Miner,Prospecting,2,"['Prospecting', 'Miner', 'The Law of Means', 'signal', 'ideas', 'research', 'skill', 'Electronic Signal Transmission', 'Mathematical Calculations', 'idea', 'engine', 'Machines', 'program', 'Seismic Imaging', 'Financial Equilibrium', 'education', 'Factory', 'Information Flow', 'Finding Nearest Neighbors', 'innovation']","[0.44029261613159476, 0.4398530627027566, 0.35174228854721357, 0.3401509452511067, 0.3385361217188698, 0.33668762085796605, 0.33313991500832874, 0.31910285245643355, 0.31792271102974023, 0.31619666568495197, 0.3161526063768426, 0.3117316359026894, 0.3102945320384417, 0.30958837356144797, 0.30833441841958853, 0.3073531552390601, 0.30644405317527124, 0.306012221676465, 0.30347319660737687, 0.3009897816423004]"
147,Bias-Variance Equilibrium,Archery,Financial Equilibrium,-1,"['Financial Equilibrium', 'Urban Entropy Increase', 'Program Error', 'reasons for a theory', 'competition', 'Evolution', 'Principle of Financial Balance', 'research', 'The Law of Means', 'Urban Evolution', 'Competition', 'theory', 'Circuit Malfunction', 'Currency Loss', 'electronic scale automatically adjusts', 'poverty', 'Group Behavior', 'Blindness', 'Human Relationships', 'Financial Balance']","[0.4559058808536306, 0.3494164660862207, 0.3214781228290258, 0.31275164047702886, 0.2919787744678348, 0.29117671217248187, 0.288527855812735, 0.28421767472736875, 0.27804738030130216, 0.27786915673239587, 0.2714395172837768, 0.2691248353330321, 0.2643468096036957, 0.2624386232479282, 0.2604220132677932, 0.2549334965288072, 0.2515068722842576, 0.24368882049963764, 0.2402415941522621, 0.2398484628099208]"
148,Cross Validation,Fishing,The Law of Means,-1,"['The Law of Means', 'Currency Loss', 'Cookie Making', 'Mathematical Calculations', 'Finding Nearest Neighbors', 'Final Exam', 'Neural Networks', 'Taylor Expansion', 'Solving Puzzles', 'research', 'skill', 'Evolution', 'Blindness', 'career', 'Financial Equilibrium', 'The Neural Network of Computers', 'cooking', 'Student', 'innovation', 'code']","[0.2986074569794074, 0.26746331238598825, 0.266677612124317, 0.2637112395415987, 0.25625455824922283, 0.24663189574182015, 0.2399883221817507, 0.23851736342735533, 0.2373674200213666, 0.23589464315742203, 0.23257236449879332, 0.22989467847179526, 0.22312552253208567, 0.22257984995105068, 0.2217615563670664, 0.2194256724731351, 0.21525960827764176, 0.21492747674199095, 0.20961135050388036, 0.20707169982438195]"
149,random forest,forest,forest,1,"['forest', 'The Law of Means', 'Neural Networks', 'Robotic Movement', 'Tree', 'Firewall', 'The Neural Network of Computers', 'Robotic arm', 'Financial Equilibrium', 'Pedigree Trees', 'Finding Nearest Neighbors', 'Democracy', 'Factory System', 'Regulator', 'research', 'Miner', 'program', 'natural selection', 'Wind Power', 'A Distributed Computing System']","[0.3481038675979548, 0.34070844566482006, 0.3002664830629792, 0.2824132723824265, 0.27043985721435637, 0.268829764335095, 0.2614368561954492, 0.2606072298220168, 0.2575013772916244, 0.2525790366042336, 0.25214646076659575, 0.25155688662543635, 0.24780556050576782, 0.2454683354734431, 0.24309571212656114, 0.2370824531808308, 0.2326185812872644, 0.22801435979318904, 0.22588733677836065, 0.2235122180397908]"
150,Mining Association Rules,Solving Puzzles,Miner,-1,"['Miner', 'Prospecting', 'The Law of Means', 'Math', 'The Maze Problem', 'Human Relationships', 'research', 'Mathematical Calculations', 'Robotic Movement', 'Neural Networks', 'A Distributed Computing System', 'Principle of Financial Balance', 'Machines', 'The Neural Network of Computers', 'Molecular Symmetry', 'Finding Nearest Neighbors', 'lubrication system', 'Group Behavior', 'Archeology', 'Cookie Making']","[0.4731091450192958, 0.3995294131179661, 0.3647623638715757, 0.3062382153495572, 0.29977360830901373, 0.2956897363132592, 0.28407154994668515, 0.27865796549696953, 0.27576836704857133, 0.2697106787900829, 0.2602835734118044, 0.2576553236426316, 0.2533548354375006, 0.25172096586325443, 0.25126310049175904, 0.24768564580810207, 0.24558084350616888, 0.24519015204300743, 0.2449066006239568, 0.24419839521914172]"
151,PCA Dimensionality Reduction Algorithm,3D Projection,3D Projection,1,"['3D Projection', 'The Law of Means', 'Finding Nearest Neighbors', 'Neural Networks', 'Disassembly', 'Mathematical Calculations', 'a three-dimensional puzzle', 'CPU', 'Computer Processor', 'The Neural Network of Computers', 'Deciphering the Code', 'code', 'Democratic Centralism in China', 'A Distributed Computing System', 'program', 'The Maze Problem', 'Taylor Expansion', 'cocoon', 'Drawing', 'Maps']","[0.4003118308100109, 0.3562735919287012, 0.2917345864446703, 0.26580242793779874, 0.25795756157981303, 0.253242120880667, 0.2525288449770947, 0.25214005915233817, 0.2460123222132649, 0.2432703722505205, 0.23756017596261128, 0.23187906552921506, 0.22984035038644163, 0.2233997158170009, 0.2172098097234896, 0.21491392243657093, 0.2139977542571349, 0.21395552358726364, 0.21190849806557654, 0.20985566442595138]"
152,KNN Algorithm,Finding Nearest Neighbors,Finding Nearest Neighbors,1,"['Finding Nearest Neighbors', 'The Law of Means', 'The Neural Network of Computers', 'Neural Networks', 'find a shortest path on the map', 'knowledge', 'communication networks', 'Mathematical Calculations', 'research', 'Computer Code', 'The Maze Problem', 'The Nervous System', 'Crime Scene', 'line', 'Taylor Expansion', 'program', 'electronic scale automatically adjusts', 'Crowd', 'Maps', 'Math']","[0.7674145910034386, 0.5768508212668784, 0.41383962452618556, 0.4056707326241281, 0.34506793419551485, 0.3043275553253707, 0.27408786552579845, 0.24156604207979712, 0.24004920642427227, 0.2360542852107354, 0.22164351521191505, 0.21858206029030872, 0.21555385600428964, 0.21399351787130438, 0.21288010308866348, 0.20933093126320662, 0.20800586189678033, 0.20632823424515584, 0.2046911530225344, 0.20314209770050803]"
